portal,mass,ctau,xi
photon,7,50,1
photon,7,50,2p5
photon,7,100,1
photon,7,100,2p5
photon,7,500,1
photon,7,500,2p5
photon,7,1000,1
photon,7,1000,2p5
photon,10,50,1
photon,10,50,2p5
photon,10,100,1
photon,10,100,2p5
photon,10,500,1
photon,10,500,2p5
photon,10,1000,1
photon,10,1000,2p5
photon,15,50,1
photon,15,50,2p5
photon,15,100,1
photon,15,100,2p5
photon,15,500,1
photon,15,500,2p5
photon,15,1000,1
photon,15,1000,2p5
photon,20,50,1
photon,20,50,2p5
photon,20,100,1
photon,20,100,2p5
photon,20,500,1
photon,20,500,2p5
photon,20,1000,1
photon,20,1000,2p5
gluon,6,50,1
gluon,6,50,2p5
gluon,6,100,1
gluon,6,100,2p5
gluon,6,500,1
gluon,6,500,2p5
gluon,6,1000,1
gluon,6,1000,2p5
gluon,10,50,1
gluon,10,50,2p5
gluon,10,100,1
gluon,10,100,2p5
gluon,10,500,1
gluon,10,500,2p5
gluon,10,1000,1
gluon,10,1000,2p5
gluon,15,50,1
gluon,15,50,2p5
gluon,15,100,1
gluon,15,100,2p5
gluon,15,500,1
gluon,15,500,2p5
gluon,15,1000,1
gluon,15,1000,2p5
gluon,20,50,1
gluon,20,50,2p5
gluon,20,100,1
gluon,20,100,2p5
gluon,20,500,1
gluon,20,500,2p5
gluon,20,1000,1
gluon,20,1000,2p5
higgs,4,50,1
higgs,4,50,2p5
higgs,4,100,1
higgs,4,100,2p5
higgs,4,500,1
higgs,4,500,2p5
higgs,4,1000,1
higgs,4,1000,2p5
higgs,5,50,1
higgs,5,50,2p5
higgs,5,100,1
higgs,5,100,2p5
higgs,5,500,1
higgs,5,500,2p5
higgs,5,1000,1
higgs,5,1000,2p5
higgs,10,50,1
higgs,10,50,2p5
higgs,10,100,1
higgs,10,100,2p5
higgs,10,500,1
higgs,10,500,2p5
higgs,10,1000,1
higgs,10,1000,2p5
higgs,15,50,1
higgs,15,50,2p5
higgs,15,100,1
higgs,15,100,2p5
higgs,15,500,1
higgs,15,500,2p5
higgs,15,1000,1
higgs,15,1000,2p5
higgs,20,50,1
higgs,20,50,2p5
higgs,20,100,1
higgs,20,100,2p5
higgs,20,500,1
higgs,20,500,2p5
higgs,20,1000,1
higgs,20,1000,2p5
darkphoton,2,50,1
darkphoton,2,50,2p5
darkphoton,2,100,1
darkphoton,2,100,2p5
darkphoton,2,500,1
darkphoton,2,500,2p5
darkphoton,2,1000,1
darkphoton,2,1000,2p5
darkphoton,5,50,1
darkphoton,5,50,2p5
darkphoton,5,100,1
darkphoton,5,100,2p5
darkphoton,5,500,1
darkphoton,5,500,2p5
darkphoton,5,1000,1
darkphoton,5,1000,2p5
darkphoton,10,50,1
darkphoton,10,50,2p5
darkphoton,10,100,1
darkphoton,10,100,2p5
darkphoton,10,500,1
darkphoton,10,500,2p5
darkphoton,10,1000,1
darkphoton,10,1000,2p5
darkphoton,15,50,1
darkphoton,15,50,2p5
darkphoton,15,100,1
darkphoton,15,100,2p5
darkphoton,15,500,1
darkphoton,15,500,2p5
darkphoton,15,1000,1
darkphoton,15,1000,2p5
darkphoton,20,50,1
darkphoton,20,50,2p5
darkphoton,20,100,1
darkphoton,20,100,2p5
darkphoton,20,500,1
darkphoton,20,500,2p5
darkphoton,20,1000,1
darkphoton,20,1000,2p5
vector,2,50,1
vector,2,100,1
vector,2,500,1
vector,2,1000,1
vector,5,50,1
vector,5,100,1
vector,5,500,1
vector,5,1000,1
vector,10,50,1
vector,10,100,1
vector,10,500,1
vector,10,1000,1
vector,15,50,1
vector,15,100,1
vector,15,500,1
vector,15,1000,1
vector,20,50,1
vector,20,100,1
vector,20,500,1
vector,20,1000,1
